学号,姓名,年龄,性别,联系方式,班级,语文,数学,英语,物理,化学,生物,政治,历史,地理,总分
202100001,utnohg,25,男,15953405351,162,90,122,46,7,73,26,49,34,2,449
202100002,xsnzsh,20,女,17889674140,49,51,7,9,13,88,9,68,19,14,278
202100003,poezgv,21,男,17857585158,135,144,43,102,91,6,3,70,11,98,568
202100004,uxheum,23,女,13171801540,139,2,11,43,21,82,71,68,24,2,324
202100005,iwkgbz,25,女,17866021527,136,39,23,22,59,5,57,95,71,12,383
202100006,kuqrni,21,女,15862004067,159,140,53,14,37,98,3,76,52,31,504
202100007,rkbvlm,20,女,18175303302,9,38,2,40,80,85,21,5,30,16,317
202100008,hguxyw,17,女,13042109151,7,31,146,21,45,16,7,19,93,98,476
202100009,ecrslu,17,男,13528016358,160,71,83,9,11,52,21,60,29,50,386
202100010,hhczem,17,男,15848082743,37,89,76,45,23,1,10,59,83,94,480
202100011,ekxxnl,26,男,13684766689,27,89,134,131,27,83,52,44,15,8,583
202100012,lkfraj,17,女,15818733573,118,99,141,19,82,19,88,30,93,72,643
202100013,azhyev,24,女,15966881390,141,97,116,15,10,81,13,92,73,94,591
202100014,daxhmg,18,女,18612496016,89,45,20,118,70,13,8,29,18,70,391
202100015,ldulwb,23,男,17852901862,58,31,127,127,52,21,16,62,95,65,596
202100016,zbfejv,21,女,18155989700,68,108,107,19,82,39,46,47,20,41,509
202100017,ylwxmx,17,女,18523490502,153,44,50,83,58,23,22,36,67,67,450
202100018,kgyuiu,21,男,18655197375,92,102,115,80,71,84,38,76,44,67,677
202100019,yymflw,17,女,18869153483,146,39,145,102,28,72,45,6,11,10,458
202100020,ivccep,23,男,18698234094,18,4,29,104,62,14,21,10,48,16,308
202100021,ltanln,22,女,14918287104,30,115,120,108,2,16,77,4,25,0,467
202100022,gmfsjn,20,男,17384977360,121,81,103,134,24,76,26,7,94,86,631
202100023,pvuudm,20,男,13697212857,21,33,74,138,89,87,46,27,84,89,667
202100024,viinlz,22,女,15370298274,21,98,100,109,8,85,96,17,92,94,699
202100025,gmjoog,16,男,18110937589,161,135,116,9,22,73,47,81,63,23,569
202100026,cnqocl,19,男,15910091539,73,9,107,38,10,24,28,34,4,10,264
202100027,ixwsja,21,男,18966102991,73,112,0,87,44,6,58,100,64,80,551
202100028,uiugth,22,女,18920103844,147,20,145,60,98,8,97,59,100,84,671
202100029,jlbghb,25,男,17338251932,136,78,15,113,100,76,79,96,12,12,581
202100030,opehrt,21,男,18113906300,49,144,17,69,49,50,76,14,13,20,452
202100031,ooeqxn,19,女,18995846507,107,148,132,115,30,32,15,94,62,0,628
